ror1_flag,ror1_confidence,ror1_reasoning,b7h3_flag,b7h3_confidence,b7h3_reasoning,topo1_flag,topo1_confidence,topo1_reasoning,bispecific_flag,bispecific_reasoning,competitor_flag,competitor_reasoning,lens_id
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of targeting ROR1 in the described dual-targeting protein.,False,none,"The claims do not explicitly mention B7-H3 or CD276. The focus is on DLL4 and VEGF, with no reference to B7-H3 or its characteristics.",False,none,There is no mention of a topoisomerase I inhibitor or any specific payload related to topoisomerase I in the claims. The claims focus on a dual-targeting protein without specifying any cytotoxic payload.,False,The claims describe a dual-targeting protein but do not meet the criteria for bispecific constructs targeting ROR1 or B7-H3.,False,"None of the flags for ROR1, B7-H3, or topoisomerase I payload are met, indicating no competitive risk to the ADC program.",114-350-353-706-003
False,none,The claims do not mention ROR1 or any related receptor. They focus solely on a monoclonal antibody targeting DLL4.,False,none,There is no mention of B7-H3 or CD276 in the claims. The patent is centered around DLL4 and its interactions.,False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. They are focused on the antibody targeting DLL4.,False,The claims do not describe any bispecific or multispecific constructs. They only pertain to a monoclonal antibody targeting DLL4.,False,"None of the claims provide medium or high confidence for ROR1, B7-H3, or topoisomerase I payloads, indicating no competitive risk.",125-709-615-840-999
False,none,The claims do not mention ROR1 or any specific binding to ROR1. There is no indication of targeting this receptor in the patent.,False,none,"The claims do not explicitly mention B7-H3 or CD276, nor do they specify any antibody binding to this target.",True,medium,"Claim 7 includes 'topoisomerase inhibitors' as a category of cytotoxic drugs, which encompasses topoisomerase I inhibitors. However, it does not specify any particular topoisomerase I inhibitor.",False,The claims do not describe any bispecific or multispecific antibody constructs.,True,"The presence of a topoisomerase I inhibitor in the claims indicates a potential competitive risk, despite the lack of specificity for ROR1 or B7-H3.",030-991-883-479-308
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of an antibody targeting ROR1 in the provided claims.,False,none,The claims do not explicitly mention B7-H3 or any related target. There is no indication of an antibody targeting B7-H3 in the provided claims.,False,none,The claims do not mention any topoisomerase I inhibitors or related payloads. There is no indication of a topoisomerase I inhibitor payload in the provided claims.,False,The claims do not describe any bispecific or multispecific constructs. There is no indication of a bispecific antibody targeting ROR1 or B7-H3.,False,"There are no claims that meet the criteria for ROR1, B7-H3, or topoisomerase I inhibitors, leading to a conclusion of no competitive risk.",084-986-690-232-010
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of targeting ROR1 in the patent.,False,none,The claims do not explicitly mention B7-H3 or CD276. There is no evidence of targeting B7-H3 in the patent.,False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. There is no mention of specific topoisomerase I inhibitors in the patent.,False,The claims do not describe any bispecific or multispecific antibodies. There is no indication of a bispecific construct targeting ROR1 or B7-H3.,False,There is no evidence in the claims that supports any competitive risk to an ADC program targeting ROR1 or B7-H3 with a topoisomerase I inhibitor payload.,196-104-040-475-33X
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of specificity towards ROR1 in the described purification methods.,False,none,The claims do not mention B7-H3 or any related immune checkpoint. There is no indication of specificity towards B7-H3 in the described purification methods.,False,none,The claims do not explicitly mention any topoisomerase I inhibitors or related payloads. There is no indication of a topoisomerase I inhibitor in the described methods.,False,"While the claims mention bispecific antibodies, they do not specify any targeting of ROR1 or B7-H3. Therefore, the bispecific constructs do not meet the criteria for competitive risk.",False,There is no evidence in the claims that supports a competitive risk to ADC programs targeting ROR1 or B7-H3 with a topoisomerase I inhibitor payload.,115-816-969-058-583
False,none,The claims do not mention ROR1 or any related receptor. They focus solely on antibodies targeting alpha-synuclein.,False,none,"There is no mention of B7-H3 or CD276 in the claims. The focus is on alpha-synuclein, with no reference to immune checkpoint proteins.",False,none,The claims do not specify any topoisomerase I inhibitors or related payloads. The focus is on antibodies and their binding properties.,False,"While the patent mentions bispecific antibodies, none of the claims specify binding to ROR1 or B7-H3, thus not meeting the criteria for competitive risk.",False,"No claims indicate targeting of ROR1, B7-H3, or a topoisomerase I payload, leading to a conclusion of no competitive risk.",141-040-150-695-864
False,none,"The patent does not mention ROR1 or any related receptor. Claims focus on a bispecific antibody targeting alpha-synuclein and IGF1R, with no reference to ROR1.",False,none,"There is no mention of B7-H3 or CD276 in the claims. The focus is on a bispecific antibody targeting alpha-synuclein and IGF1R, which does not include B7-H3.",False,none,The patent does not reference any topoisomerase I inhibitors or related payloads. Claims are centered around a bispecific antibody without any mention of a topoisomerase I payload.,True,"The claims describe a bispecific antibody targeting alpha-synuclein and IGF1R, which qualifies as a bispecific construct. However, neither target meets the criteria for ROR1 or B7-H3.",False,"No claims support targeting ROR1, B7-H3, or a topoisomerase I inhibitor payload. The bispecific construct does not pose a competitive risk to the ADC program.",062-177-527-818-267
False,none,The patent does not mention ROR1 or any related terms. There are no claims or references to ROR1 binding or targeting.,True,high,"The claims explicitly describe an isolated antibody specifically recognizing B7-H3, with detailed sequences provided for the heavy and light chain complementarity determining regions, confirming high confidence in B7-H3 targeting.",False,none,There is no mention of a topoisomerase I inhibitor or any related payload in the claims. The focus is solely on the antibody targeting B7-H3.,False,The claims do not describe any bispecific or multispecific constructs. All claims pertain to a single antibody targeting B7-H3.,True,"The patent poses a competitive risk due to the high confidence in B7-H3 targeting, which overlaps with the ADC program's focus on B7-H3.",040-924-461-597-34X
False,none,The claims do not mention ROR1 or any related receptor. There is no indication of targeting ROR1 in the described bispecific antibody.,False,none,"The claims do not explicitly mention B7-H3 or CD276. The second antibody unit targets 4-1BB, which is unrelated to B7-H3.",False,none,There is no mention of a topoisomerase I inhibitor or any specific payload related to topoisomerase I in the claims.,True,"The claims describe a bispecific antibody comprising an anti-claudin 18.2 unit and an anti-4-1BB unit, which qualifies as a bispecific construct.",False,"Despite the presence of a bispecific construct, there is no medium or high confidence regarding ROR1, B7-H3, or topoisomerase I payload, leading to a conclusion of no competitive risk.",013-169-852-887-496
