patent_type,composition_subtype,cmc_subtype,clinical_indications,clinical_population,reasoning_short,lens_id
Composition,Conjugated Antibody,,[],[],"The primary claim of the patent is directed towards a dual-targeting protein that includes a specific antibody binding to VEGF and a protein binding to DLL4. This indicates a focus on the composition of the conjugated antibody, as the linker and payload are not specified.",114-350-353-706-003
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on a monoclonal antibody that binds specifically to DLL4, as evidenced by the broadest independent claim. The claims detail the antibody's structure and sequences, classifying it as an 'Unconjugated Antibody'.",125-709-615-840-999
Composition,Full ADC,,[],[],"The broadest independent claim is directed to an antibody-drug conjugate (ADC) with a specific conjugation site, which includes both the antibody and the cytotoxic drug. This indicates a 'Full ADC' composition subtype as it specifies the antibody and payload components of the ADC.",030-991-883-479-308
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the composition of an anti-4-1BB antibody, as evidenced by the broadest independent claim. The claims detail specific sequences for the antibody's CDRs, indicating it is an unconjugated antibody composition.",084-986-690-232-010
Composition,Conjugated Antibody,,[],[],"The primary claim is directed to an antibody or antigen-binding fragment that specifically binds to BCMA, with mention of conjugation to an anti-cancer drug. The focus is on the antibody itself, making it a 'Conjugated Antibody' under the composition category.",196-104-040-475-33X
CMC,,Purification/Downstream,[],[],"The patent primarily claims a method for purifying Fc-containing bioactive peptides using protein A affinity chromatography. The focus is on the purification process, which falls under the 'Purification/Downstream' category in CMC.",115-816-969-058-583
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the composition of humanized antibodies or antigen-binding fragments that bind to alpha-synuclein. The claims detail the specific sequences and structures of these antibodies, classifying it as an 'Unconjugated Antibody' composition.",141-040-150-695-864
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the bispecific antibody that binds to alpha-synuclein and IGF1R. The claims detail the structure and binding characteristics of the antibody, indicating it is an unconjugated antibody composition.",062-177-527-818-267
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on an isolated antibody specifically recognizing B7-H3, which is described in detail in the claims. The claims do not specify a linker or payload, indicating that the invention is centered on the unconjugated antibody itself.",040-924-461-597-34X
Clinical,,,"['solid tumor', 'colorectal cancer', 'genitourinary tract cancer', 'sarcoma', 'melanoma', 'hepatocellular carcinoma', 'gastric cancer', 'esophageal cancer', 'gastroesophageal cancer', 'pancreatic cancer', 'pancreatic ductal adenocarcinoma', 'lung cancer', 'non-small cell lung cancer', 'breast cancer', 'ovarian cancer', 'colon cancer', 'hepatic cancer', 'head-neck cancer', 'gallbladder cancer', 'Krukenberg tumor', 'lymphoma']","['advanced solid tumor', 'metastatic solid tumor', 'advanced and metastatic solid tumor']","The primary focus of the patent is on a method of treating solid tumors using a bispecific antibody, which classifies it under 'Clinical'. The claims detail specific cancer types and patient populations targeted by the treatment method.",013-169-852-887-496
Composition,Unconjugated Antibody,,[],[],"The primary focus of the patent is on the bispecific antibody composition that targets alpha-synuclein and IGF1R. The claims detail the structure and components of the antibody, without specifying a linker or payload, classifying it as an unconjugated antibody.",106-752-227-105-364
