patent_type,composition_subtype,cmc_subtype,clinical_indications,clinical_population,reasoning_short,lens_id
Composition,Dual Combination,,['cancer'],[],"The primary inventive concept revolves around a dual-targeted protein that combines a protein binding to DLL4 and an antibody binding to VEGF, classifying it as a composition. The claims also include a method for treating cancer, indicating a dual combination of components.",114-350-353-706-003
Composition,Unconjugated Antibody,,"['cancer', 'autoimmune disease']",[],"The primary inventive concept is the monoclonal antibody that binds to DLL4, classifying it as a composition. The claims focus on the antibody itself without specifying a linker or payload, thus it is categorized as an unconjugated antibody. Additionally, there are claims related to treating cancer and autoimmune diseases.",125-709-615-840-999
Composition,Full ADC,,"['cancer', 'autoimmune disease']",[],"The primary inventive concept is the antibody-drug conjugate (ADC) itself, which includes specific claims about the composition of the ADC. The claims detail the antibody, the cytotoxic drug, and their conjugation, qualifying it as a Full ADC.",030-991-883-479-308
Composition,Conjugated Antibody,,['cancer'],[],"The primary inventive concept is the anti-4-1BB antibody, which falls under the composition category. The broadest independent claim specifies the antibody itself, classifying it as a conjugated antibody since it details the antibody structure without specifying a linker or payload.",084-986-690-232-010
Composition,Conjugated Antibody,,['cancer'],['multiple myeloma'],"The primary inventive concept is the antibody that binds to BCMA, which is a composition claim. The claims also include a method of treatment, but the broadest independent claim focuses on the antibody itself, classifying it as a conjugated antibody since it mentions potential conjugation with an anti-cancer drug.",196-104-040-475-33X
CMC,,Purification/Downstream,[],[],"The patent primarily focuses on a method for purifying Fc-containing bioactive peptides using protein A affinity chromatography, which falls under the category of CMC, specifically related to purification processes.",115-816-969-058-583
Composition,Conjugated Antibody,,"['alpha-synucleinopathy', ""Parkinson's disease"", 'dementia with Lewy bodies', 'multiple system atrophy', ""Alzheimer's disease with amygdala Lewy bodies""]",['human subject'],"The primary inventive concept revolves around the composition of humanized antibodies targeting alpha-synuclein, which classifies it as a 'Composition' patent. The claims focus on the antibodies themselves, indicating a 'Conjugated Antibody' subtype, as they specify the antibody structure without detailing a linker or payload. Additionally, the patent includes methods of treatment, specifying various alpha-synucleinopathies as clinical indications.",141-040-150-695-864
Composition,Conjugated Antibody,,"['_-synucleinopathy', ""Parkinson's disease"", ""Parkinson's disease dementia"", 'dementia with Lewy bodies', ""Lewy body variant of Alzheimer's disease"", ""Combined Alzheimer's and Parkinson disease"", 'multiple system atrophy']",[],"The primary inventive concept is a bispecific antibody, which classifies it under 'Composition'. The claims focus on the antibody structure, making it a 'Conjugated Antibody'. The clinical indications for treatment are explicitly stated in the claims.",062-177-527-818-267
Composition,Unconjugated Antibody,,['cancer'],[],"The primary inventive concept is the isolated anti-B7-H3 antibody, which is a composition claim. The claims focus on the antibody itself without specifying a linker or payload, classifying it as an unconjugated antibody.",040-924-461-597-34X
Clinical,,,"['solid tumor', 'advanced solid tumor', 'metastatic solid tumor']",[],"The primary focus of the patent is on a method of treating solid tumors using a bispecific antibody, which falls under clinical claims related to treatment methods.",013-169-852-887-496
Composition,Conjugated Antibody,,"['synucleinopathies', ""Parkinson's disease"", ""Parkinson's disease dementia"", 'dementia with Lewy bodies', ""Lewy body variant of Alzheimer's disease"", ""combined Alzheimer's and Parkinson's disease"", 'multiple system atrophy']",['human subject in need thereof who has an _-synucleinopathy'],"The primary inventive concept is a bispecific antibody targeting alpha-synuclein and IGF1R, classifying it as a composition. The claims focus on the antibody structure, making it a conjugated antibody. Additionally, the patent includes methods of treatment for specific diseases, indicating clinical applications.",106-752-227-105-364
Composition,Unconjugated Antibody,,['_-synucleinopathy'],"[""Parkinson's disease"", ""Parkinson's disease dementia"", 'dementia with Lewy bodies', ""Lewy body variants of Alzheimer's disease"", ""Combined Alzheimer's and Parkinson disease"", 'multiple system atrophy']","The primary inventive concept is the isolated antibody specifically binding to _-syn aggregates, classifying it as a composition. The claims focus on the antibody itself without specifying a linker or payload, thus it is categorized as an unconjugated antibody.",143-154-603-067-990
Composition,Unconjugated Antibody,,"['disease related to overexpression of ROR1', 'cancer']",[],"The primary inventive concept is the isolated anti-ROR1 antibody, which falls under the composition category. The claims focus on the antibody itself rather than a conjugated ADC, thus it is classified as an unconjugated antibody.",132-024-389-417-675
Composition,Conjugated Antibody,,"['cancer', 'infection']",[],"The primary inventive concept is the anti-PD-L1/anti-LAG3 bispecific antibody, which falls under the composition category. The claims focus on the antibody structure, making it a conjugated antibody type. Additionally, there are method-of-treatment claims for diseases associated with PD-L1 and LAG3, specifically mentioning cancer and infection.",035-535-701-536-934
Composition,Full ADC,,"['cancer expressing CLL-1', 'leukemia', 'rectal cancer', 'endometrial cancer', 'nephroblastoma', 'basal cell carcinoma', 'nasopharyngeal cancer', 'bone tumor', 'esophageal cancer', 'lymphoma', ""Hodgkin's lymphoma"", ""non-Hodgkin's lymphoma"", 'follicular thyroid cancer', 'hepatocellular carcinoma', 'oral cancer', 'renal cell carcinoma', 'multiple myeloma', 'mesothelioma', 'osteosarcoma', 'myelodysplastic syndrome', 'mesenchymal tumor', 'soft tissue sarcoma', 'liposarcoma', 'gastrointestinal stromal tumor', 'malignant peripheral nerve sheath tumor (MPNST)', 'ewing sarcoma', 'leiomyosarcoma', 'mesenchymal chondrosarcoma', 'lymphosarcoma', 'fibrosarcoma', 'rhabdomyosarcoma', 'teratoma', 'neuroblastoma', 'medulloblastoma', 'glioma', 'benign skin tumor', ""Burkitt's lymphoma"", 'mantle cell lymphoma', 'diffuse large B cell lymphoma (DLBCL)', 'follicular lymphoma', 'marginal zone lymphoma', 'neuroectodermal tumor', 'epithelial tumor', 'cutaneous T-cell lymphoma (CTCL)', 'peripheral T cell lymphoma (PTCL)', 'pancreas cancer', 'haematological malignancies', 'kidney cancer', 'tumor vasculature', 'breast cancer', 'renal cancer', 'ovarian cancer', 'epithelial ovarian cancer', 'gastric cancer', 'liver cancer', 'lung cancer', 'colorectal cancer', 'pancreatic cancer', 'skin cancer', 'bladder cancer', 'testicular cancer', 'uterine cancer', 'prostate cancer', 'small cell lung cancer (SCLC)', 'non-small cell lung cancer (NSCLC)', 'neuroblastoma', 'brain cancer', 'colon cancer', 'squamous cell carcinoma', 'melanoma', 'myeloma', 'cervical cancer', 'thyroid cancer', 'head and neck cancer', 'adrenal cancer']",[],"The primary inventive concept of the patent is the composition of an anti-CLL-1 antibody that can be conjugated with a cytotoxic agent, making it a Full ADC. The claims include both the antibody composition and methods of treatment, but the broadest independent claim focuses on the composition aspect.",126-400-017-050-111
Composition,Full ADC,,[],[],"The patent primarily claims an antibody-drug conjugate (ADC) that includes a compound with specific structural features, thus falling under the 'Composition' category. The independent claims detail both the ADC construct and the components involved, qualifying it as a 'Full ADC'.",032-702-686-208-890
Composition,Conjugated Antibody,,['cancer'],[],"The primary inventive concept is the anti-B7-H4/anti-4-1BB bispecific antibody, which falls under the composition category. The claims focus on the antibody structure and its components, indicating it is a conjugated antibody type.",123-305-417-696-371
Composition,Conjugated Antibody,,"['disease related to BCMA', 'disease related to 4-1BB', 'cancer', 'multiple myeloma']",[],"The primary inventive concept is the bispecific antibody targeting BCMA and 4-1BB, which classifies it as a composition. The claims focus on the antibody structure, making it a conjugated antibody type.",155-867-970-269-637
Composition,Conjugated Antibody,,"['alpha-synucleinopathy', ""Parkinson's disease"", ""Parkinson's disease dementia"", 'dementia with Lewy bodies', ""Lewy body variant of Alzheimer's disease"", ""Combined Alzheimer's and Parkinson disease"", 'multiple system atrophy']",[],"The primary inventive concept is the anti-alpha-synuclein antibody, which falls under the composition category. The claims focus on the antibody itself, classifying it as a conjugated antibody since it specifies the antibody structure without detailing a linker or payload.",100-484-468-185-151
Composition,Conjugated Antibody,,['cancer'],"['subject in need thereof', 'subject with HER2 expressing cell']","The primary inventive concept is the bispecific antibody, which classifies it as a composition. The claims focus on the antibody itself, making it a conjugated antibody subtype.",065-075-094-026-839
Composition,Conjugated Antibody,,['cancer'],[],"The primary inventive concept is the anti-4-1BB/anti-EGFR bispecific antibody, which falls under the composition category. The claims focus on the antibody structure and its components, classifying it as a conjugated antibody since it specifies the bispecific antibody without detailing a linker or payload.",046-548-139-465-762
Composition,Conjugated Antibody,,['cancer'],[],"The primary inventive concept is the anti-PD-L1/anti-B7-H3 multispecific antibody, which falls under the composition category. The claims focus on the antibody structure and its components, indicating it is a conjugated antibody type. Additionally, there are claims related to treating cancer, which supports the classification.",115-389-685-382-652
Composition,Full ADC,,['cancer'],[],"The primary inventive concept is the antibody-drug conjugate (ADC) comprising an anti-ROR1 antibody and its use in treating cancer, which aligns with the 'Composition' category. The broadest independent claim specifies the full ADC structure, including the antibody, linker, and active agent.",180-068-866-368-876
Composition,Conjugated Antibody,,['cancer'],[],"The primary inventive concept is the composition of a bispecific antibody targeting CLDN18.2 and 4-1BB, classifying it as a 'Composition' patent. The claims focus on the antibody structure, making it a 'Conjugated Antibody' subtype. Additionally, there is a method of treatment for cancer, but the primary classification is based on the composition claims.",070-837-454-760-121
