patent_type,composition_subtype,cmc_subtype,clinical_indications,clinical_population,reasoning_short,lens_id
Composition,Unconjugated Antibody,,['cancer'],[],"The broadest independent claim describes a dual-targeting protein comprising an antibody and a protein, without any covalent attachment to a non-antibody payload, classifying it as an unconjugated antibody.",114-350-353-706-003
Composition,Unconjugated Antibody,,"['cancer', 'autoimmune disease']",[],"The broadest independent claim is directed to a monoclonal antibody that binds specifically to DLL4, classifying it as a composition. There are no claims of chemical conjugation to a payload, thus it is classified as an Unconjugated Antibody.",125-709-615-840-999
Composition,Conjugated Antibody,,"['cancer', 'autoimmune disease']",[],"The broadest independent claim is directed to an antibody-drug conjugate, which involves a covalent attachment of a cytotoxic drug to an antibody, classifying it as a 'Conjugated Antibody'. The patent also includes method-of-treatment claims, but the primary inventive concept is the composition itself.",030-991-883-479-308
Clinical,,,['cancer'],[],"The broadest independent claim is a method of treating or preventing cancer, classifying the patent as 'Clinical'.",084-986-690-232-010
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to an antibody that specifically binds to BCMA, without any mention of a covalently attached payload, thus classifying it as an unconjugated antibody.",196-104-040-475-33X
CMC,,Purification/Downstream,[],[],"The broadest independent claim focuses on a method of purifying Fc-containing bioactive peptides, indicating a primary inventive concept related to purification processes rather than a composition or clinical treatment.",115-816-969-058-583
Clinical,,,"[""Parkinson's disease"", 'dementia with Lewy bodies', 'multiple system atrophy', ""Alzheimer's disease with amygdala Lewy bodies""]",[],"The broadest independent claim is a method of treating alpha-synucleinopathies, which qualifies the patent as 'Clinical'.",141-040-150-695-864
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to a bispecific antibody, which does not involve any covalent attachment to a non-antibody payload, thus classifying it as an Unconjugated Antibody.",062-177-527-818-267
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to an isolated antibody specifically recognizing B7-H3, which classifies it as a composition. There is no mention of a covalently attached payload, thus it is classified as an Unconjugated Antibody.",040-924-461-597-34X
Clinical,,,['solid tumor'],"['advanced solid tumor', 'metastatic solid tumor']","The broadest independent claim is a method of treating solid tumors using a bispecific antibody, classifying the patent as 'Clinical'.",013-169-852-887-496
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to a bispecific antibody, which does not involve any covalent attachment to a non-antibody payload, thus classifying it as an Unconjugated Antibody.",106-752-227-105-364
Composition,Unconjugated Antibody,,['_-synucleinopathy'],[],"The broadest independent claim is directed to an isolated antibody specifically binding to _-syn aggregate, which classifies it as a composition. There is no mention of a covalently attached payload, thus it is classified as an Unconjugated Antibody.",143-154-603-067-990
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to an isolated antibody specifically recognizing ROR1, which classifies it as a composition. There is no mention of a covalently attached payload, thus it is classified as an Unconjugated Antibody.",132-024-389-417-675
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to a bispecific antibody without any covalent attachment to a non-antibody payload, classifying it as an Unconjugated Antibody.",035-535-701-536-934
Composition,Conjugated Antibody,,[],[],"The broadest independent claim is directed to an isolated anti-CLL-1 antibody, which is chemically conjugated to a cytotoxic agent as per claims 14-19. This indicates a covalent attachment to a non-antibody payload, classifying it as a Conjugated Antibody.",126-400-017-050-111
Composition,Conjugated Antibody,,[],[],"The broadest independent claim (Claim 7) describes an antibody-drug conjugate, which includes a covalently attached antibody and a non-antibody payload, classifying it as a 'Conjugated Antibody'. There are no method-of-treatment claims that would classify it as 'Clinical'.",032-702-686-208-890
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to a bispecific antibody, which does not involve any covalent attachment to a non-antibody payload, classifying it as an Unconjugated Antibody.",123-305-417-696-371
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to a bispecific antibody, which does not involve any covalent attachment to a non-antibody payload, thus classifying it as an Unconjugated Antibody.",155-867-970-269-637
Composition,Unconjugated Antibody,,"['alpha-synucleinopathy', ""Parkinson's disease"", ""Parkinson's disease dementia"", 'dementia with Lewy bodies', ""Lewy body variant of Alzheimer's disease"", ""Combined Alzheimer's and Parkinson disease"", 'multiple system atrophy']",[],"The broadest independent claim is directed to an antibody that binds to alpha-synuclein aggregates, classifying it as a composition. It does not involve any covalent attachment to a non-antibody payload, thus it is categorized as an Unconjugated Antibody.",100-484-468-185-151
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to a bispecific antibody, which does not involve any covalent attachment to a non-antibody payload, classifying it as an unconjugated antibody.",065-075-094-026-839
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to an anti-4-1BB/anti-EGFR bispecific antibody, which is classified as an unconjugated antibody since it does not involve any covalent attachment to a non-antibody payload.",046-548-139-465-762
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to an anti-PD-L1/anti-B7-H3 multispecific antibody, which is an unconjugated antibody as it does not involve any covalent attachment to a non-antibody payload.",115-389-685-382-652
Composition,Full ADC,,[],[],"The broadest independent claim describes an antibody-drug conjugate (ADC) comprising an anti-ROR1 antibody, a linker, and an active agent, which qualifies it as a Full ADC. There are no method-of-treatment claims that would classify it as Clinical.",180-068-866-368-876
Composition,Unconjugated Antibody,,[],[],"The broadest independent claim is directed to a bispecific antibody without any covalent attachment to a non-antibody payload, classifying it as an Unconjugated Antibody.",070-837-454-760-121
