ror1_flag,ror1_confidence,ror1_reasoning,b7h3_flag,b7h3_confidence,b7h3_reasoning,topo1_flag,topo1_confidence,topo1_reasoning,bispecific_flag,bispecific_reasoning,competitor_flag,competitor_reasoning,lens_id,error
False,none,"The claims focus on antibodies targeting DLL3, with no mention of ROR1 or related characteristics.",False,none,The claims do not mention B7-H3 or any related characteristics. They are specific to DLL3 targeting.,False,none,There is no mention of topoisomerase I inhibitors or related payloads in the claims.,True,"The claims describe bispecific antibodies targeting DLL3 and CD3, but neither target is ROR1 or B7-H3.",False,"The patent does not target ROR1, B7-H3, or involve a topoisomerase I inhibitor payload. The bispecific nature does not involve relevant targets.",039-300-232-515-637,
False,none,The claims do not mention ROR1 or any characteristics associated with ROR1 targeting.,False,none,The claims do not mention B7-H3 or any characteristics associated with B7-H3 targeting.,False,none,The claims do not specify a topoisomerase I inhibitor or any related structural or functional characteristics.,False,The claims do not describe a bispecific or multispecific antibody construct.,False,"The patent claims are specific to an anti-HER2 ADC and do not cover ROR1, B7-H3, or topoisomerase I inhibitor payloads. Therefore, it does not pose a competitive risk to the ADC program targeting these elements.",094-825-731-979-424,
False,none,"The claims do not mention ROR1 or any characteristics specifically associated with ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL or mantle cell lymphoma.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as being a 4Ig B7 family member or overexpression in specific cancers.",False,none,"The claims specify tubulysin or auristatin as the drug units, with no mention of topoisomerase I inhibitors or related compounds like camptothecin derivatives.",False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and there are no bispecific constructs described. Therefore, the patent does not pose a competitive risk to the ADC program targeting these specific elements.",064-424-066-709-583,
False,none,The claims focus on an anti-TROP2 antibody-drug conjugate and do not mention ROR1 or any related characteristics.,False,none,The claims are specific to TROP2 targeting and do not reference B7-H3 or any related characteristics.,False,none,The claims do not specify a topoisomerase I inhibitor or any related compounds as the payload.,False,There is no mention of bispecific or multispecific constructs in the claims.,False,"The patent claims are specific to TROP2 targeting and do not involve ROR1, B7-H3, or a topoisomerase I inhibitor payload, thus posing no competitive risk to the ADC program targeting these elements.",186-558-921-944-814,
False,none,"The claims do not mention ROR1, orphan receptor tyrosine kinases, or any related signaling pathways. The focus is on an androgen receptor modulator for prostate cancer treatment.",False,none,"There is no mention of B7-H3, CD276, or any related B7 family members in the claims. The patent is centered on androgen receptor modulation.",False,none,The claims do not reference topoisomerase I inhibitors or any related payloads. The focus is on a specific androgen receptor modulator compound.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"The patent does not pose a competitive risk to an ADC program targeting ROR1, B7-H3, or using a topoisomerase I inhibitor payload, as it is focused on an androgen receptor modulator for prostate cancer.",075-145-950-118-300,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as Wnt5a signaling or expression in CLL.",False,none,"There is no mention of B7-H3, CD276, or any specific characteristics of B7-H3 targeting in the claims.",False,none,"The claims focus on maytansinoid derivatives, which are not related to topoisomerase I inhibitors. There is no mention of camptothecin or related topoisomerase I inhibitors.",False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence. The patent does not pose a competitive risk to the ADC program targeting these specific elements.",079-324-326-110-937,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any characteristics specific to B7-H3 targeting, such as being a 4Ig B7 family member.",True,high,"The claims focus on formulations of FL118, which is known to be a topoisomerase I inhibitor, thus directly supporting the presence of a topoisomerase I inhibitor payload.",False,The claims do not describe any bispecific or multispecific antibody constructs.,True,The high confidence in the presence of a topoisomerase I inhibitor payload in the claims indicates a competitive risk to ADC programs using similar payloads.,106-587-702-968-526,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims. The claims focus on a complex involving an anti-cotinine antibody.",False,none,The claims do not reference any topoisomerase I inhibitors or related payloads. The focus is on a cotinine-antibody complex for assay methods.,False,The claims do not describe any bispecific or multispecific antibodies. The invention is centered on a complex involving an anti-cotinine antibody.,False,"None of the claims relate to ROR1, B7-H3, or topoisomerase I inhibitors. The patent does not pose a competitive risk to the ADC program targeting these elements.",107-703-317-876-109,
False,none,"The claims focus exclusively on specific binding members targeting EGFR, with no mention or implication of ROR1 or related characteristics.",False,none,"There is no mention of B7-H3, CD276, or any related characteristics in the claims, which are specific to EGFR binding.",False,none,The claims do not mention any topoisomerase I inhibitors or related payloads; they focus on EGFR binding members.,False,The claims do not describe any bispecific or multispecific antibodies; they are specific to EGFR binding members.,False,"The patent claims are specific to EGFR binding members and do not mention ROR1, B7-H3, or topoisomerase I inhibitors, thus posing no competitive risk to the ADC program targeting these elements.",152-059-136-452-443,
False,none,"The claims do not mention ROR1 or any characteristics specific to ROR1 targeting, such as involvement in Wnt5a signaling or expression in CLL.",False,none,"The claims do not mention B7-H3, CD276, or any specific characteristics of B7-H3 targeting, such as being a 4Ig B7 family member.",False,none,The claims do not mention topoisomerase I inhibitors or any specific payloads related to topoisomerase I inhibition.,False,The claims do not describe any bispecific or multispecific antibody constructs.,False,"None of the criteria for ROR1, B7-H3, or topoisomerase I inhibitor payloads are met with medium or high confidence, and there are no bispecific constructs described.",011-388-852-098-320,
